Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.951,0.0,0.073,1.0,0.545,0.994,0.524,0.982,0.389
RR,0.137,0.924,0.273,0.108,0.996,0.585,0.991,0.561,0.973,0.418
BRR,0.0,0.901,0.0,0.128,1.0,0.587,0.994,0.564,0.982,0.42
lSVR,0.653,1.06,0.709,0.099,0.926,0.57,0.928,0.561,0.83,0.417
SVR,0.485,1.126,0.475,0.196,0.859,0.408,0.91,0.434,0.82,0.324
RFR,0.508,0.922,0.118,0.14,0.986,0.513,0.95,0.515,0.864,0.384
KRR,0.003,1.045,0.004,0.12,1.0,0.515,0.994,0.522,0.982,0.39
GPR,0.0,1.165,0.0,0.014,1.0,0.196,0.998,0.429,0.993,0.316
XGB,0.689,1.272,0.545,0.259,0.979,0.297,0.981,0.231,0.954,0.207
